experiment,visualization,mode,boids,block_size,cell_width_multiplier,mean,std
block_size,off,coherent,20000,32,2,4613.56,137.60430916217703
block_size,off,coherent,20000,64,2,4682.796666666666,190.96939082830312
block_size,off,coherent,20000,128,2,4699.78,136.4456225021527
block_size,off,coherent,20000,256,2,4646.753333333333,218.59281445951805
block_size,off,coherent,20000,512,2,4834.49,59.76772373112422
block_size,off,coherent,20000,1024,2,4638.673333333333,78.52619775166272
block_size,off,naive,20000,32,2,78.77713333333334,0.6557030298338874
block_size,off,naive,20000,64,2,78.75796666666666,0.09976002873562591
block_size,off,naive,20000,128,2,77.2838,0.14696472365842836
block_size,off,naive,20000,256,2,76.6071,0.28207121441224325
block_size,off,naive,20000,512,2,74.83773333333333,0.2020495566274061
block_size,off,naive,20000,1024,2,49.83526666666666,0.056597909266448185
block_size,off,scattered,20000,32,2,4828.413333333333,208.2765671729142
block_size,off,scattered,20000,64,2,4824.873333333334,50.36240694539308
block_size,off,scattered,20000,128,2,4254.176666666667,159.75619184661764
block_size,off,scattered,20000,256,2,4321.066666666667,138.13559075536318
block_size,off,scattered,20000,512,2,4129.0,107.18450587654874
block_size,off,scattered,20000,1024,2,4006.3199999999997,21.59144274938565
boid_count,off,coherent,1000,128,2,5796.276666666668,461.9324448805617
boid_count,off,coherent,5000,128,2,4967.2699999999995,141.46164109043826
boid_count,off,coherent,10000,128,2,5028.713333333333,61.82701863532927
boid_count,off,coherent,20000,128,2,4829.403333333333,165.47070113265733
boid_count,off,coherent,40000,128,2,4073.0866666666666,80.38246346892689
boid_count,off,naive,1000,128,2,1859.08,206.57313668529113
boid_count,off,naive,5000,128,2,376.8763333333333,1.6461422579270928
boid_count,off,naive,10000,128,2,165.80666666666667,0.31796907606453506
boid_count,off,naive,20000,128,2,77.28766666666667,0.21024950257571273
boid_count,off,naive,40000,128,2,20.01386666666667,0.16462102943832332
boid_count,off,scattered,1000,128,2,5648.433333333333,421.1204115610326
boid_count,off,scattered,5000,128,2,5702.6033333333335,138.74844443572442
boid_count,off,scattered,10000,128,2,4517.84,57.10345698817186
boid_count,off,scattered,20000,128,2,4149.496666666667,147.20406595380868
boid_count,off,scattered,40000,128,2,2616.5066666666667,36.43695971583419
boid_count,on,coherent,1000,128,2,480.93666666666667,45.13299923928536
boid_count,on,coherent,5000,128,2,479.57733333333334,52.34975071892254
boid_count,on,coherent,10000,128,2,497.56199999999995,13.058907343265744
boid_count,on,coherent,20000,128,2,522.4193333333334,30.923957417079265
boid_count,on,coherent,40000,128,2,494.58033333333333,36.35920277362161
boid_count,on,naive,1000,128,2,438.536,27.49534453321143
boid_count,on,naive,5000,128,2,211.83066666666664,7.124272337111582
boid_count,on,naive,10000,128,2,125.50166666666667,2.319165654569185
boid_count,on,naive,20000,128,2,71.67756666666666,2.311170249750832
boid_count,on,naive,40000,128,2,24.20606666666667,0.5731537868088555
boid_count,on,scattered,1000,128,2,482.34233333333333,38.5431681408435
boid_count,on,scattered,5000,128,2,510.0433333333333,12.503005012129394
boid_count,on,scattered,10000,128,2,481.89799999999997,45.587659163418344
boid_count,on,scattered,20000,128,2,504.9923333333333,39.10162081465845
boid_count,on,scattered,40000,128,2,457.55266666666665,6.872102759223939
cell_width,off,coherent,20000,128,1,1602.5766666666666,22.374678396199066
cell_width,off,coherent,20000,128,2,4676.793333333334,218.84758196821159
cell_width,off,scattered,20000,128,1,1529.4099999999999,47.26202809867551
cell_width,off,scattered,20000,128,2,4213.3966666666665,95.82120085520397
