"experiment","visualization","mode","boids","block_size","cell_width_multiplier","trial","measured_steps","ms_per_step","fps"
"boid_count","off","naive","1000","128","2","1","100","0.562545","1777.64"
"boid_count","off","naive","1000","128","2","2","100","0.586291","1705.64"
"boid_count","off","naive","1000","128","2","3","100","0.477564","2093.96"
"boid_count","off","naive","5000","128","2","1","100","2.6518","377.102"
"boid_count","off","naive","5000","128","2","2","100","2.64272","378.398"
"boid_count","off","naive","5000","128","2","3","100","2.66575","375.129"
"boid_count","off","naive","10000","128","2","1","100","6.01886","166.145"
"boid_count","off","naive","10000","128","2","2","100","6.03277","165.761"
"boid_count","off","naive","10000","128","2","3","100","6.04177","165.514"
"boid_count","off","naive","20000","128","2","1","100","12.9149","77.4302"
"boid_count","off","naive","20000","128","2","2","100","12.9792","77.0462"
"boid_count","off","naive","20000","128","2","3","100","12.9221","77.3866"
"boid_count","off","naive","40000","128","2","1","100","49.8041","20.0787"
"boid_count","off","naive","40000","128","2","2","100","49.6617","20.1362"
"boid_count","off","naive","40000","128","2","3","100","50.437","19.8267"
"boid_count","off","scattered","1000","128","2","1","100","0.193249","5174.66"
"boid_count","off","scattered","1000","128","2","2","100","0.167219","5980.17"
"boid_count","off","scattered","1000","128","2","3","100","0.172698","5790.47"
"boid_count","off","scattered","5000","128","2","1","100","0.174428","5733.02"
"boid_count","off","scattered","5000","128","2","2","100","0.171715","5823.62"
"boid_count","off","scattered","5000","128","2","3","100","0.180142","5551.17"
"boid_count","off","scattered","10000","128","2","1","100","0.221798","4508.6"
"boid_count","off","scattered","10000","128","2","2","100","0.223918","4465.92"
"boid_count","off","scattered","10000","128","2","3","100","0.218388","4579"
"boid_count","off","scattered","20000","128","2","1","100","0.235694","4242.79"
"boid_count","off","scattered","20000","128","2","2","100","0.251269","3979.8"
"boid_count","off","scattered","20000","128","2","3","100","0.236636","4225.9"
"boid_count","off","scattered","40000","128","2","1","100","0.378829","2639.71"
"boid_count","off","scattered","40000","128","2","2","100","0.379464","2635.3"
"boid_count","off","scattered","40000","128","2","3","100","0.388424","2574.51"
"boid_count","off","coherent","1000","128","2","1","100","0.183368","5453.52"
"boid_count","off","coherent","1000","128","2","2","100","0.158188","6321.59"
"boid_count","off","coherent","1000","128","2","3","100","0.178135","5613.72"
"boid_count","off","coherent","5000","128","2","1","100","0.199424","5014.44"
"boid_count","off","coherent","5000","128","2","2","100","0.207976","4808.25"
"boid_count","off","coherent","5000","128","2","3","100","0.196884","5079.12"
"boid_count","off","coherent","10000","128","2","1","100","0.200049","4998.78"
"boid_count","off","coherent","10000","128","2","2","100","0.196086","5099.81"
"boid_count","off","coherent","10000","128","2","3","100","0.200499","4987.55"
"boid_count","off","coherent","20000","128","2","1","100","0.20354","4913.03"
"boid_count","off","coherent","20000","128","2","2","100","0.215572","4638.81"
"boid_count","off","coherent","20000","128","2","3","100","0.202578","4936.37"
"boid_count","off","coherent","40000","128","2","1","100","0.251186","3981.12"
"boid_count","off","coherent","40000","128","2","2","100","0.242135","4129.93"
"boid_count","off","coherent","40000","128","2","3","100","0.243415","4108.21"
"boid_count","on","naive","1000","128","2","1","120","2.38446","419.382"
"boid_count","on","naive","1000","128","2","2","120","2.3464","426.185"
"boid_count","on","naive","1000","128","2","3","120","2.12747","470.041"
"boid_count","on","naive","5000","128","2","1","120","4.79335","208.622"
"boid_count","on","naive","5000","128","2","2","120","4.54555","219.995"
"boid_count","on","naive","5000","128","2","3","120","4.83383","206.875"
"boid_count","on","naive","10000","128","2","1","120","8.09068","123.599"
"boid_count","on","naive","10000","128","2","2","120","8.0115","124.821"
"boid_count","on","naive","10000","128","2","3","120","7.80731","128.085"
"boid_count","on","naive","20000","128","2","1","120","13.7191","72.8911"
"boid_count","on","naive","20000","128","2","2","120","13.6744","73.1292"
"boid_count","on","naive","20000","128","2","3","120","14.4902","69.0124"
"boid_count","on","naive","40000","128","2","1","120","40.8829","24.4601"
"boid_count","on","naive","40000","128","2","2","120","40.6366","24.6083"
"boid_count","on","naive","40000","128","2","3","120","42.4631","23.5498"
"boid_count","on","scattered","1000","128","2","1","120","2.13145","469.165"
"boid_count","on","scattered","1000","128","2","2","120","2.21182","452.116"
"boid_count","on","scattered","1000","128","2","3","120","1.90206","525.746"
"boid_count","on","scattered","5000","128","2","1","120","1.91551","522.055"
"boid_count","on","scattered","5000","128","2","2","120","2.01166","497.101"
"boid_count","on","scattered","5000","128","2","3","120","1.95705","510.974"
"boid_count","on","scattered","10000","128","2","1","120","2.04242","489.616"
"boid_count","on","scattered","10000","128","2","2","120","2.30977","432.944"
"boid_count","on","scattered","10000","128","2","3","120","1.91156","523.134"
"boid_count","on","scattered","20000","128","2","1","120","1.85307","539.646"
"boid_count","on","scattered","20000","128","2","2","120","2.16169","462.6"
"boid_count","on","scattered","20000","128","2","3","120","1.95034","512.731"
"boid_count","on","scattered","40000","128","2","1","120","2.14834","465.475"
"boid_count","on","scattered","40000","128","2","2","120","2.20653","453.2"
"boid_count","on","scattered","40000","128","2","3","120","2.20273","453.983"
"boid_count","on","coherent","1000","128","2","1","120","2.04817","488.241"
"boid_count","on","coherent","1000","128","2","2","120","2.31162","432.597"
"boid_count","on","coherent","1000","128","2","3","120","1.91581","521.972"
"boid_count","on","coherent","5000","128","2","1","120","1.88231","531.261"
"boid_count","on","coherent","5000","128","2","2","120","2.0795","480.885"
"boid_count","on","coherent","5000","128","2","3","120","2.3442","426.586"
"boid_count","on","coherent","10000","128","2","1","120","2.06278","484.782"
"boid_count","on","coherent","10000","128","2","2","120","1.9574","510.883"
"boid_count","on","coherent","10000","128","2","3","120","2.01199","497.021"
"boid_count","on","coherent","20000","128","2","1","120","1.86132","537.254"
"boid_count","on","coherent","20000","128","2","2","120","1.84118","543.131"
"boid_count","on","coherent","20000","128","2","3","120","2.05392","486.873"
"boid_count","on","coherent","40000","128","2","1","120","2.04212","489.688"
"boid_count","on","coherent","40000","128","2","2","120","1.87569","533.138"
"boid_count","on","coherent","40000","128","2","3","120","2.1696","460.915"
"block_size","off","naive","20000","32","2","1","100","12.7179","78.6294"
"block_size","off","naive","20000","32","2","2","100","12.5795","79.4941"
"block_size","off","naive","20000","32","2","3","100","12.7864","78.2079"
"block_size","off","naive","20000","64","2","1","100","12.6821","78.8514"
"block_size","off","naive","20000","64","2","2","100","12.7141","78.6529"
"block_size","off","naive","20000","64","2","3","100","12.6953","78.7696"
"block_size","off","naive","20000","128","2","1","100","12.9157","77.4249"
"block_size","off","naive","20000","128","2","2","100","12.9649","77.1316"
"block_size","off","naive","20000","128","2","3","100","12.9375","77.2949"
"block_size","off","naive","20000","256","2","1","100","13.0811","76.4462"
"block_size","off","naive","20000","256","2","2","100","12.9984","76.9328"
"block_size","off","naive","20000","256","2","3","100","13.0818","76.4423"
"block_size","off","naive","20000","512","2","1","100","13.3523","74.8937"
"block_size","off","naive","20000","512","2","2","100","13.3323","75.0059"
"block_size","off","naive","20000","512","2","3","100","13.4024","74.6136"
"block_size","off","naive","20000","1024","2","1","100","20.0589","49.8531"
"block_size","off","naive","20000","1024","2","2","100","20.0917","49.7719"
"block_size","off","naive","20000","1024","2","3","100","20.0478","49.8808"
"block_size","off","scattered","20000","32","2","1","100","0.202516","4937.87"
"block_size","off","scattered","20000","32","2","2","100","0.217949","4588.23"
"block_size","off","scattered","20000","32","2","3","100","0.201648","4959.14"
"block_size","off","scattered","20000","64","2","1","100","0.2048","4882.81"
"block_size","off","scattered","20000","64","2","2","100","0.208323","4800.25"
"block_size","off","scattered","20000","64","2","3","100","0.2087","4791.56"
"block_size","off","scattered","20000","128","2","1","100","0.237281","4214.41"
"block_size","off","scattered","20000","128","2","2","100","0.242833","4118.06"
"block_size","off","scattered","20000","128","2","3","100","0.225731","4430.06"
"block_size","off","scattered","20000","256","2","1","100","0.223754","4469.19"
"block_size","off","scattered","20000","256","2","2","100","0.232653","4298.25"
"block_size","off","scattered","20000","256","2","3","100","0.238336","4195.76"
"block_size","off","scattered","20000","512","2","1","100","0.236401","4230.11"
"block_size","off","scattered","20000","512","2","2","100","0.241531","4140.26"
"block_size","off","scattered","20000","512","2","3","100","0.248965","4016.63"
"block_size","off","scattered","20000","1024","2","1","100","0.248218","4028.72"
"block_size","off","scattered","20000","1024","2","2","100","0.2509","3985.64"
"block_size","off","scattered","20000","1024","2","3","100","0.249713","4004.6"
"block_size","off","coherent","20000","32","2","1","100","0.224481","4454.71"
"block_size","off","coherent","20000","32","2","2","100","0.212941","4696.14"
"block_size","off","coherent","20000","32","2","3","100","0.213228","4689.83"
"block_size","off","coherent","20000","64","2","1","100","0.204943","4879.4"
"block_size","off","coherent","20000","64","2","2","100","0.214088","4670.98"
"block_size","off","coherent","20000","64","2","3","100","0.222321","4498.01"
"block_size","off","coherent","20000","128","2","1","100","0.219535","4555.08"
"block_size","off","coherent","20000","128","2","2","100","0.211948","4718.15"
"block_size","off","coherent","20000","128","2","3","100","0.207206","4826.11"
"block_size","off","coherent","20000","256","2","1","100","0.214108","4670.54"
"block_size","off","coherent","20000","256","2","2","100","0.226386","4417.24"
"block_size","off","coherent","20000","256","2","3","100","0.20608","4852.48"
"block_size","off","coherent","20000","512","2","1","100","0.20823","4802.37"
"block_size","off","coherent","20000","512","2","2","100","0.208435","4797.65"
"block_size","off","coherent","20000","512","2","3","100","0.203938","4903.45"
"block_size","off","coherent","20000","1024","2","1","100","0.219484","4556.14"
"block_size","off","coherent","20000","1024","2","2","100","0.215173","4647.42"
"block_size","off","coherent","20000","1024","2","3","100","0.212204","4712.46"
"cell_width","off","scattered","20000","128","1","1","100","0.648888","1541.1"
"cell_width","off","scattered","20000","128","1","2","100","0.676864","1477.4"
"cell_width","off","scattered","20000","128","1","3","100","0.637051","1569.73"
"cell_width","off","scattered","20000","128","2","1","100","0.236032","4236.71"
"cell_width","off","scattered","20000","128","2","2","100","0.243423","4108.07"
"cell_width","off","scattered","20000","128","2","3","100","0.232806","4295.41"
"cell_width","off","coherent","20000","128","1","1","100","0.634071","1577.11"
"cell_width","off","coherent","20000","128","1","2","100","0.617636","1619.08"
"cell_width","off","coherent","20000","128","1","3","100","0.620524","1611.54"
"cell_width","off","coherent","20000","128","2","1","100","0.203223","4920.7"
"cell_width","off","coherent","20000","128","2","2","100","0.216822","4612.08"
"cell_width","off","coherent","20000","128","2","3","100","0.222341","4497.6"
